,car,move
1159,H,-1
1160,H,1
1161,E,1
1162,K,2
1163,K,-2
1164,K,2
1165,X,-1
1166,F,-1
1167,X,1
1168,E,-1
1169,E,1
1170,X,-1
1171,X,1
1172,L,-1
1173,E,-1
1174,L,1
1175,F,2
1176,F,-1
1177,H,-1
1178,F,-1
1179,H,1
1180,F,2
1181,K,-1
1182,X,-1
1183,X,1
1184,F,-1
1185,K,1
1186,E,1
1187,K,-1
1188,K,-1
1189,K,1
1190,E,-1
1191,F,1
1192,K,1
1193,F,-1
1194,K,-1
1195,E,1
1196,X,-1
1197,E,-1
1198,H,-1
1199,H,1
1200,F,1
1201,G,1
1202,B,-1
1203,F,-1
1204,K,1
1205,B,1
1206,F,-1
1207,F,2
1208,A,1
1209,F,-1
1210,F,-1
1211,F,2
1212,F,-1
1213,F,-1
1214,F,1
1215,F,1
1216,F,-2
1217,G,1
1218,A,-1
1219,G,-2
1220,F,1
1221,F,1
1222,F,-2
1223,H,-2
1224,X,1
1225,X,-1
1226,H,1
1227,I,-2
1228,L,-1
1229,X,1
1230,J,1
1231,L,1
1232,L,-1
1233,J,-1
1234,J,1
1235,X,-1
1236,X,1
1237,L,1
1238,L,-1
1239,X,-1
1240,G,1
1241,J,-1
1242,J,1
1243,B,-1
1244,J,-1
1245,I,1
1246,I,-1
1247,B,1
1248,I,1
1249,A,1
1250,I,-1
1251,I,1
1252,L,1
1253,H,-1
1254,I,1
1255,I,-1
1256,I,1
1257,I,-1
1258,I,-1
1259,I,1
1260,I,-1
1261,H,1
1262,I,1
1263,G,1
1264,G,-1
1265,H,-1
1266,I,-1
1267,J,1
1268,J,-1
1269,I,2
1270,I,-2
1271,H,1
1272,G,1
1273,C,1
1274,C,-1
1275,I,1
1276,G,-1
1277,A,-1
1278,L,-1
1279,A,1
1280,A,-1
1281,I,1
1282,I,-1
1283,B,-1
1284,L,1
1285,I,1
1286,F,1
1287,F,-1
1288,G,1
1289,G,-1
1290,L,-1
1291,B,1
1292,A,1
1293,I,-1
1294,I,-1
1295,A,-1
1296,G,-1
1297,J,1
1298,J,-1
1299,G,1
1300,J,1
1301,B,-1
1302,L,1
1303,L,-1
1304,J,-1
1305,B,1
1306,G,-1
1307,G,1
1308,B,-1
1309,L,1
1310,I,2
1311,F,1
1312,F,-1
1313,F,1
1314,H,1
1315,F,-1
1316,H,-1
1317,B,1
1318,A,1
1319,H,-1
1320,I,-1
1321,H,1
1322,H,-1
1323,H,1
1324,H,-1
1325,H,1
1326,L,-1
1327,I,1
1328,H,1
1329,E,1
1330,D,-1
1331,A,-1
1332,G,-1
1333,X,1
1334,D,1
1335,D,-1
1336,L,1
1337,L,-1
1338,D,1
1339,L,1
1340,L,-1
1341,E,-1
1342,L,1
1343,L,-1
1344,E,1
1345,L,1
1346,E,-1
1347,F,1
1348,F,-1
1349,X,-1
1350,G,2
1351,G,-2
1352,L,-2
1353,H,-1
1354,L,1
1355,I,-1
1356,L,1
1357,X,1
1358,H,-1
1359,H,1
1360,L,-1
1361,L,1
1362,H,-1
1363,I,-1
1364,J,1
1365,H,1
1366,F,1
1367,K,-1
1368,K,-1
1369,J,-1
1370,I,2
1371,H,1
1372,F,1
1373,K,2
1374,F,-2
1375,L,-1
1376,H,-1
1377,I,-1
1378,X,-1
1379,L,1
1380,G,1
1381,A,1
1382,F,1
1383,F,-1
1384,I,-1
1385,L,-1
1386,I,2
1387,L,1
1388,L,-1
1389,H,1
1390,A,-1
1391,L,1
1392,E,1
1393,G,1
1394,C,2
1395,C,-2
1396,C,2
1397,C,-2
1398,C,1
1399,E,-1
1400,E,1
1401,D,-1
1402,B,-1
1403,D,1
1404,E,-1
1405,B,1
1406,C,-1
1407,C,1
1408,A,1
1409,A,-1
1410,B,-1
1411,B,1
1412,A,1
1413,C,-1
1414,H,-1
1415,I,-1
1416,I,1
1417,I,-1
1418,I,-1
1419,C,1
1420,J,1
1421,J,-1
1422,I,1
1423,C,-1
1424,A,-1
1425,I,-1
1426,I,1
1427,C,1
1428,A,1
1429,I,-1
1430,I,2
1431,I,-2
1432,A,-1
1433,I,1
1434,I,-1
1435,B,-1
1436,I,1
1437,B,1
1438,I,1
1439,A,1
1440,I,-1
1441,A,-1
1442,I,1
1443,I,-1
1444,I,-1
1445,I,2
1446,H,1
1447,E,1
1448,C,1
1449,B,-1
1450,B,1
1451,B,-1
1452,C,-2
1453,C,2
1454,C,-2
1455,C,1
1456,C,1
1457,B,1
1458,A,1
1459,A,-1
1460,A,1
1461,A,-1
1462,A,1
1463,C,-2
1464,D,-1
1465,A,-1
1466,A,1
1467,G,-1
1468,G,1
1469,A,-1
1470,A,1
1471,D,1
1472,D,-1
1473,G,-1
1474,A,-1
1475,F,1
1476,A,1
1477,A,-1
1478,D,1
1479,E,-1
1480,A,1
1481,F,-1
1482,L,-1
1483,H,-1
1484,I,-1
1485,A,-1
1486,I,-1
1487,L,1
1488,I,1
1489,F,1
1490,G,-1
1491,K,-1
1492,G,1
1493,K,1
1494,I,-1
1495,I,2
1496,I,-1
1497,I,-1
1498,F,-1
1499,I,2
1500,G,-1
1501,L,-2
1502,J,-2
1503,I,-2
1504,I,2
1505,I,-1
1506,I,1
1507,I,-2
1508,I,1
1509,I,-1
1510,J,2
1511,L,1
1512,I,2
1513,H,1
1514,L,1
1515,X,1
1516,L,-1
1517,X,-1
1518,E,1
1519,L,1
1520,G,1
1521,D,-1
1522,A,1
1523,L,-1
1524,L,1
1525,A,-1
1526,B,-1
1527,L,-1
1528,D,1
1529,D,-1
1530,D,1
1531,L,1
1532,B,1
1533,G,1
1534,D,-1
1535,G,-1
1536,D,1
1537,B,-1
1538,E,-1
1539,G,1
1540,G,-1
1541,H,-1
1542,H,-1
1543,H,1
1544,I,-2
1545,B,1
1546,F,1
1547,J,1
1548,G,-1
1549,F,-1
1550,F,1
1551,K,-1
1552,X,1
1553,K,1
1554,F,-1
1555,L,-1
1556,J,-1
1557,I,2
1558,I,-2
1559,I,1
1560,L,1
1561,I,-1
1562,I,1
1563,X,-1
1564,H,-1
1565,X,1
1566,I,-1
1567,I,2
1568,H,1
1569,H,-1
1570,X,-1
1571,X,1
1572,H,2
1573,F,1
1574,K,-1
1575,K,1
1576,E,1
1577,K,-2
1578,K,2
1579,K,-2
1580,K,2
1581,E,-1
1582,H,-1
1583,F,-1
1584,X,-1
1585,G,2
1586,I,-1
1587,I,-1
1588,A,1
1589,G,-1
1590,F,1
1591,A,-1
1592,I,1
1593,G,-1
1594,G,1
1595,A,1
1596,F,-1
1597,L,-1
1598,I,-1
1599,A,-1
1600,B,-1
1601,I,1
1602,L,1
1603,F,1
1604,K,-1
1605,I,-1
1606,I,2
1607,B,1
1608,A,1
1609,H,1
1610,A,-1
1611,A,1
1612,H,-1
1613,K,1
1614,K,-1
1615,I,-2
1616,I,2
1617,H,1
1618,E,1
1619,E,-1
1620,E,1
1621,D,-1
1622,K,1
1623,D,1
1624,E,-1
1625,A,-1
1626,A,1
1627,F,-1
1628,A,-1
1629,H,-1
1630,L,-1
1631,B,-1
1632,I,-2
1633,L,1
1634,I,1
1635,H,-1
1636,H,1
1637,F,1
1638,I,1
1639,F,-1
1640,I,-2
1641,G,1
1642,J,1
1643,C,1
1644,J,-1
1645,B,1
1646,J,1
1647,B,-1
1648,J,-1
1649,J,1
1650,C,-1
1651,J,-1
1652,J,1
1653,B,1
1654,A,1
1655,C,1
1656,A,-1
1657,C,-1
1658,G,-2
1659,H,-1
1660,G,1
1661,A,1
1662,H,1
1663,G,1
1664,G,-1
1665,H,-1
1666,A,-1
1667,B,-1
1668,H,1
1669,F,1
1670,K,-1
1671,J,-1
1672,I,1
1673,I,-1
1674,J,1
1675,B,1
1676,B,-1
1677,J,-1
1678,I,2
1679,I,-2
1680,K,1
1681,F,-1
1682,B,1
1683,I,2
1684,F,1
1685,K,-1
1686,B,-1
1687,I,-1
1688,I,-1
1689,I,2
1690,I,-1
1691,K,1
1692,I,1
1693,K,-1
1694,B,1
1695,A,1
1696,I,-1
1697,I,1
1698,K,1
1699,I,-2
1700,A,-1
1701,G,-1
1702,F,-1
1703,G,2
1704,I,2
1705,B,-1
1706,G,-1
1707,B,1
1708,A,1
1709,I,-2
1710,F,1
1711,F,-1
1712,A,-1
1713,L,-1
1714,G,-1
1715,J,1
1716,L,-1
1717,J,-2
1718,J,1
1719,J,-2
1720,I,2
1721,J,2
1722,L,2
1723,H,-1
1724,H,1
1725,F,1
1726,F,-1
1727,L,-1
1728,G,1
1729,H,1
1730,E,1
1731,G,-1
1732,G,1
1733,G,-1
1734,L,1
1735,D,-1
1736,G,1
1737,A,1
1738,D,1
1739,D,-1
1740,D,1
1741,E,-1
1742,G,1
1743,H,-1
1744,I,-1
1745,I,-1
1746,G,-1
1747,G,1
1748,I,2
1749,H,1
1750,G,-1
1751,G,1
1752,C,1
1753,E,1
1754,D,-1
1755,D,1
1756,C,-1
1757,C,1
1758,A,-1
1759,C,-1
1760,D,-2
1761,A,1
1762,D,2
1763,C,1
1764,C,1
1765,A,-1
1766,C,-1
1767,D,-1
1768,D,1
1769,B,-1
1770,C,1
1771,C,-2
1772,G,-1
1773,D,-1
1774,D,1
1775,D,-1
1776,F,1
1777,D,1
1778,B,1
1779,E,-1
1780,F,1
1781,K,-1
1782,K,1
1783,A,1
1784,A,-1
1785,G,-1
1786,G,1
1787,G,-1
1788,G,1
1789,B,-1
1790,F,-2
1791,F,1
1792,H,-1
1793,H,1
1794,B,1
1795,G,-1
1796,K,-1
1797,F,1
1798,G,1
1799,K,1
1800,F,-1
1801,K,-1
1802,H,-1
1803,I,-2
1804,G,-1
1805,G,1
1806,B,-1
1807,I,2
1808,B,1
1809,H,1
1810,K,1
1811,E,1
1812,D,-1
1813,D,1
1814,A,1
1815,E,-1
1816,F,1
1817,A,-1
1818,G,-1
1819,G,1
1820,K,-1
1821,A,1
1822,K,1
1823,F,-2
1824,H,-2
1825,A,-1
1826,I,-2
1827,J,1
1828,A,1
1829,A,-1
1830,B,-1
1831,J,-1
1832,H,1
1833,H,-1
1834,I,1
1835,I,-1
1836,H,1
1837,I,1
1838,I,-1
1839,G,1
1840,G,-1
1841,G,1
1842,I,1
1843,G,-1
1844,F,1
1845,B,1
1846,A,1
1847,A,-1
1848,I,1
1849,I,-2
1850,B,-1
1851,I,2
1852,I,-1
1853,K,-1
1854,K,1
1855,I,1
1856,H,1
1857,B,1
1858,B,-1
1859,E,1
1860,K,-1
1861,B,1
1862,A,1
1863,K,1
1864,E,-1
1865,A,-1
1866,H,-1
1867,F,-1
1868,L,-1
1869,I,-1
1870,I,-1
1871,G,-1
1872,I,2
1873,I,-2
1874,J,1
1875,J,-1
1876,I,1
1877,I,1
1878,L,1
1879,X,1
1880,H,-1
1881,H,1
1882,L,-1
1883,X,-1
1884,L,-1
1885,I,-1
1886,L,1
1887,I,-1
1888,L,-1
1889,J,1
1890,L,2
1891,L,-1
1892,G,1
1893,J,-1
1894,I,1
1895,B,-1
1896,I,1
1897,I,-2
1898,B,1
1899,I,2
1900,G,-1
1901,G,1
1902,I,-1
1903,A,1
1904,I,-1
1905,I,2
1906,I,-1
1907,L,1
1908,I,1
1909,H,-1
1910,H,2
1911,L,-1
1912,E,1
1913,E,-1
1914,H,-1
1915,I,-1
1916,L,1
1917,F,1
1918,F,-1
1919,G,1
1920,A,-1
1921,B,-1
1922,C,1
1923,C,-1
1924,I,-1
1925,B,1
1926,I,2
1927,I,-2
1928,G,-1
1929,I,2
1930,H,-1
1931,B,-1
1932,H,1
1933,H,1
1934,B,1
1935,H,-1
1936,I,-1
1937,H,-1
1938,I,-1
1939,I,1
1940,B,-1
1941,I,1
1942,B,1
1943,A,1
1944,I,-2
1945,A,-1
1946,G,-1
1947,I,1
1948,H,1
1949,F,1
1950,X,1
1951,I,-1
1952,F,-1
1953,L,-1
1954,L,1
1955,X,-1
1956,J,1
1957,H,-1
1958,G,1
1959,H,1
1960,F,1
1961,J,-1
1962,B,-1
1963,F,-1
1964,H,-1
1965,J,1
1966,H,1
1967,B,1
1968,F,1
1969,K,-1
1970,G,-1
1971,G,1
1972,A,1
1973,K,1
1974,J,-1
1975,J,1
1976,J,-1
1977,A,-1
1978,I,2
1979,F,-1
1980,I,-1
1981,G,-1
1982,I,1
1983,F,1
1984,X,1
1985,K,-1
1986,I,-2
1987,K,1
1988,F,-1
1989,H,-1
1990,X,-1
1991,G,1
1992,I,2
1993,G,-1
1994,G,1
1995,H,1
