,car,move
1683,J,-1
1684,K,-1
1685,X,-1
1686,J,1
1687,G,1
1688,J,-1
1689,I,2
1690,G,-1
1691,X,1
1692,I,-2
1693,X,-1
1694,K,1
1695,I,2
1696,H,1
1697,F,-1
1698,H,-2
1699,I,-2
1700,X,1
1701,I,1
1702,H,1
1703,F,1
1704,F,-1
1705,F,1
1706,K,-2
1707,I,-1
1708,I,1
1709,K,2
1710,X,-1
1711,K,-1
1712,K,1
1713,X,1
1714,I,1
1715,I,-1
1716,I,-1
1717,I,1
1718,K,-2
1719,K,2
1720,I,-1
1721,I,2
1722,K,-2
1723,I,-1
1724,I,-1
1725,K,1
1726,J,1
1727,K,-1
1728,K,2
1729,X,-1
1730,X,1
1731,K,-2
1732,K,1
1733,X,-1
1734,K,1
1735,K,-1
1736,K,1
1737,F,-1
1738,H,-1
1739,G,1
1740,B,-1
1741,H,1
1742,L,-1
1743,L,1
1744,J,-1
1745,J,1
1746,L,-1
1747,B,1
1748,A,1
1749,L,1
1750,A,-1
1751,B,-1
1752,G,1
1753,G,-1
1754,B,1
1755,H,-1
1756,J,-1
1757,I,1
1758,A,1
1759,H,1
1760,L,-1
1761,L,1
1762,I,1
1763,I,-2
1764,H,-1
1765,J,1
1766,A,-1
1767,A,1
1768,A,-1
1769,H,1
1770,H,-1
1771,G,-1
1772,H,1
1773,G,1
1774,J,-1
1775,J,1
1776,F,1
1777,A,1
1778,F,-1
1779,J,-1
1780,A,-1
1781,G,-1
1782,X,1
1783,L,-1
1784,J,1
1785,X,-1
1786,L,-1
1787,J,-1
1788,J,1
1789,J,-1
1790,I,1
1791,J,-1
1792,I,1
1793,J,1
1794,L,1
1795,I,-2
1796,J,1
1797,L,1
1798,J,-1
1799,F,1
1800,I,2
1801,I,-1
1802,I,-1
1803,G,1
1804,B,-1
1805,F,-1
1806,H,-1
1807,H,1
1808,I,2
1809,B,1
1810,I,-1
1811,L,-1
1812,I,1
1813,B,-1
1814,I,-1
1815,B,1
1816,I,-1
1817,B,-1
1818,L,1
1819,J,1
1820,H,-1
1821,H,1
1822,J,-1
1823,F,1
1824,I,1
1825,K,-1
1826,I,-1
1827,I,2
1828,I,-1
1829,I,-1
1830,J,1
1831,K,1
1832,K,-1
1833,K,1
1834,B,1
1835,G,-1
1836,G,1
1837,A,1
1838,F,-1
1839,L,-1
1840,A,-1
1841,A,1
1842,A,-1
1843,L,1
1844,G,1
1845,A,1
1846,C,1
1847,C,-1
1848,A,-1
1849,J,-1
1850,C,1
1851,B,-1
1852,C,-1
1853,C,1
1854,I,1
1855,I,-1
1856,I,2
1857,I,-1
1858,I,-1
1859,I,2
1860,C,-1
1861,I,-1
1862,B,1
1863,I,-1
1864,G,-1
1865,L,-1
1866,A,1
1867,L,1
1868,L,-1
1869,I,2
1870,L,1
1871,I,-1
1872,G,1
1873,I,1
1874,A,-1
1875,G,-1
1876,I,-1
1877,G,-1
1878,F,1
1879,X,1
1880,I,1
1881,H,1
1882,K,-1
1883,K,1
1884,K,-2
1885,K,2
1886,E,1
1887,E,-1
1888,K,-1
1889,X,-1
1890,F,1
1891,K,1
1892,F,-1
1893,X,1
1894,X,-1
1895,G,1
1896,G,-1
1897,X,1
1898,X,-1
1899,G,1
1900,H,-1
1901,G,-1
1902,K,-1
1903,I,-1
1904,X,1
1905,I,-1
1906,K,1
1907,X,-1
1908,G,1
1909,B,-1
1910,I,2
1911,B,1
1912,B,-1
1913,I,-1
1914,F,-1
1915,I,1
1916,F,1
1917,K,-1
1918,K,1
1919,H,1
1920,B,1
1921,G,-1
1922,H,-1
1923,H,1
1924,K,-1
1925,E,1
1926,X,1
1927,K,-1
1928,E,-1
1929,K,2
1930,K,-1
1931,K,-1
1932,E,1
1933,E,-1
1934,K,2
1935,F,1
1936,F,-2
1937,X,-1
1938,X,1
1939,H,-2
1940,I,-1
1941,I,1
1942,I,-2
1943,I,2
1944,X,-1
1945,G,1
1946,G,-1
1947,I,-2
1948,J,1
1949,X,1
1950,X,-1
1951,H,1
1952,J,-1
1953,I,2
1954,X,1
1955,H,1
1956,H,-2
1957,H,2
1958,X,-1
1959,L,-1
1960,E,1
1961,G,1
1962,L,1
1963,E,-1
1964,B,-1
1965,L,-1
1966,B,1
1967,G,-1
1968,X,1
1969,X,-1
1970,G,1
1971,B,-1
1972,E,1
1973,D,-1
1974,B,1
1975,L,1
1976,D,1
1977,A,1
1978,E,-1
1979,E,1
1980,E,-1
1981,E,1
1982,F,1
1983,F,-1
1984,E,-1
1985,H,-2
1986,H,2
1987,H,-1
1988,L,-1
1989,H,1
1990,L,1
1991,F,2
1992,A,-1
1993,B,-1
1994,F,-2
1995,B,1
